ID,Sign_Name,OID,Parent_OID,Aka,Deprecated,Codepoints,PUA,Glyph,Unicode_Name,Source
s-o0001175,|GA.MA₂.KASKAL.IGI@g|,o0001175,,,false,U+120B5 U+12223 U+1219C U+1214A,,𒂵𒈣𒆜𒅊,,osl
s-o0001176,|GA.NI|,o0001176,,,false,U+120B5 U+1224C,,𒂵𒉌,,osl
s-o0000188,GA@g,o0000188,,,false,U+120B6,,𒂶,CUNEIFORM SIGN GA GUNU,osl
s-o0023073,|SA.NI|,o0023073,o0000188,,false,U+12293 U+1224C,,𒊓𒉌,,osl
s-o0000206,GA₂,o0000206,,,false,U+120B7,,𒂷,CUNEIFORM SIGN GA2,osl
s-o0031653,|GA₂.NU₁₁|,o0031653,,,false,U+120B7 U+12262,,𒂷𒉢,,osl
s-o0031758,|NU₁₁.GA₂|,o0031758,o0031653,,false,U+12262 U+120B7,,𒉢𒂷,,osl
s-o0001245,|GA₂.SILA₃|,o0001245,,,false,U+120B7 U+122E1,,𒂷𒋡,,osl
s-o0037208,|GA₂×A|,o0037208,,,false,,,,,osl
s-o0001246,|GA₂×(A.DA.HA)|,o0001246,,,false,U+120B8,,𒂸,CUNEIFORM SIGN GA2 TIMES A PLUS DA PLUS HA,osl
s-o0001248,|GA₂×(A.HA)|,o0001248,o0001246,,false,U+120B9,,𒂹,CUNEIFORM SIGN GA2 TIMES A PLUS HA,osl
s-o0018533,|GA₂×HA|,o0018533,o0001246,,false,,,,,osl
s-o0001262,|GA₂×(HA.A)|,o0001262,o0001246,,false,U+124BE,,𒒾,CUNEIFORM SIGN GA2 TIMES HA PLUS A,osl
s-o0018532,|GA₂×HA.A|,o0018532,o0001246,,false,X U+12000,,X𒀀,,osl
s-o0027183,|GA₂×(HA.HA)|,o0027183,o0001246,,false,,,,,osl
s-o0001815,|LAGAB×HA|,o0001815,o0001246,,false,,,,,osl
s-o0018538,|LAGAB×(HA.A)|,o0018538,o0001246,,false,,,,,osl
s-o0018557,|LAGAB×HA.A|,o0018557,o0001246,,false,U+121C8 U+12000,,𒇈𒀀,,osl
s-o0001247,|GA₂×(A.EN)|,o0001247,,,false,,,,,osl
s-o0001249,|GA₂×(A.IGI)|,o0001249,,,false,U+120BA,,𒂺,CUNEIFORM SIGN GA2 TIMES A PLUS IGI,osl
s-o0001250,|GA₂×(AB₂@t.TAB)|,o0001250,,,false,U+120BB,,𒂻,CUNEIFORM SIGN GA2 TIMES AB2 TENU PLUS TAB,osl
s-o0036500,|GA₂×(AB₂×GAN₂@t.TAB)|,o0036500,o0001250,,false,,,,,osl
s-o0031814,|GA₂×(AB₂×ŠA₃.TAB)|,o0031814,o0001250,,false,,,,,osl
s-o0001286,|GA₂×AN|,o0001286,,,false,U+120BC,,𒂼,CUNEIFORM SIGN GA2 TIMES AN,osl
s-o0001277,|GA₂×AN.A.TU|,o0001277,,,false,U+120BC U+12000 U+12305,,𒂼𒀀𒌅,,osl
s-o0001278,|GA₂×AN.AN.MUŠ₃|,o0001278,,,false,U+120BC U+1202D U+12239,,𒂼𒀭𒈹,,osl
s-o0001279,|GA₂×AN.DUN₃@g|,o0001279,,,false,U+120BC U+12086,,𒂼𒂆,,osl
s-o0023041,|GA₂×AN.DUN₃|,o0023041,o0001279,,false,U+120BC U+12085,,𒂼𒂅,,osl
s-o0023042,|GA₂×AN.GAN|,o0023042,,,false,U+120BC U+120F6,,𒂼𒃶,,osl
s-o0021744,|GA₂×(AN.KAK.A)|,o0021744,,,false,U+12379,,𒍹,CUNEIFORM SIGN GA2 TIMES AN PLUS KAK PLUS A,osl
s-o0001281,|GA₂×AN.LUL|,o0001281,,,false,U+120BC U+1221C,,𒂼𒈜,,osl
s-o0221934,|GA₂×AN.MUŠ₃|,o0221934,,,false,U+120BC U+12239,,𒂼𒈹,,osl
s-o0001284,|GA₂×AN.ŠIM|,o0001284,,,false,U+120BC U+122C6,,𒂼𒋆,,osl
s-o0001285,|GA₂×AN.ŠIM×GAR|,o0001285,,,false,U+120BC U+122CB,,𒂼𒋋,,osl
s-o0001282,|GA₂×AN.TU|,o0001282,,,false,U+120BC U+12305,,𒂼𒌅,,osl
s-o0001283,|GA₂×AN.X|,o0001283,,,false,U+120BC O,,𒂼X,,osl
s-o0001287,|GA₂×AŠ|,o0001287,,,false,U+120BD,,𒂽,CUNEIFORM SIGN GA2 TIMES ASH,osl
s-o0221935,|GA₂×AŠ₂|,o0221935,,,false,U+1237A,,𒍺,CUNEIFORM SIGN GA2 TIMES ASH2,osl
s-o0001251,|GA₂×(AŠ₂.GAL)|,o0001251,,,false,U+120BE,,𒂾,CUNEIFORM SIGN GA2 TIMES ASH2 PLUS GAL,osl
s-o0022952,|GA₂×(AŠ₂.TUR)|,o0022952,,,false,,,,,osl
s-o0001288,|GA₂×BAD|,o0001288,,,false,U+120BF,,𒂿,CUNEIFORM SIGN GA2 TIMES BAD,osl
s-o0001289,|GA₂×BAHAR₂|,o0001289,,,false,U+124B6,,𒒶,CUNEIFORM SIGN GA2 TIMES BAHAR2,osl
s-o0001252,|GA₂×(BAR.RA)|,o0001252,,,false,U+120C0,,𒃀,CUNEIFORM SIGN GA2 TIMES BAR PLUS RA,osl
s-o0038197,|GA₂×BU|,o0038197,,,false,,,,,osl
s-o0001291,|GA₂×BUR|,o0001291,,,false,U+120C1,,𒃁,CUNEIFORM SIGN GA2 TIMES BUR,osl
s-o0027959,|GA₂×(BUR.LA)|,o0027959,,,false,,,,,osl
s-o0001253,|GA₂×(BUR.RA)|,o0001253,,,false,U+120C2,,𒃂,CUNEIFORM SIGN GA2 TIMES BUR PLUS RA,osl
s-o0001290,|GA₂×BUR.ME|,o0001290,o0001253,,false,U+120C1 U+12228,,𒃁𒈨,,osl
s-o0001292,|GA₂×DA|,o0001292,,,false,U+120C3,,𒃃,CUNEIFORM SIGN GA2 TIMES DA,osl
s-o0001295,|GA₂×DI|,o0001295,,,false,U+120C4,,𒃄,CUNEIFORM SIGN GA2 TIMES DI,osl
s-o0027970,|GA₂×DIM|,o0027970,,,false,,,,,osl
s-o0001294,|GA₂×DIM×ŠE|,o0001294,,,false,U+120C5,,𒃅,CUNEIFORM SIGN GA2 TIMES DIM TIMES SHE,osl
s-o0001293,|GA₂×DIM@g|,o0001293,,,false,U+124B7,,𒒷,CUNEIFORM SIGN GA2 TIMES DIM GUNU,osl
s-o0001296,|GA₂×DUB|,o0001296,,,false,U+120C6,,𒃆,CUNEIFORM SIGN GA2 TIMES DUB,osl
s-o0001254,|GA₂×(DUG×IGI@g)|,o0001254,,,false,U+124B8,,𒒸,CUNEIFORM SIGN GA2 TIMES DUG TIMES IGI GUNU,osl
s-o0001255,|GA₂×(DUG×KASKAL)|,o0001255,,,false,U+124B9,,𒒹,CUNEIFORM SIGN GA2 TIMES DUG TIMES KASKAL,osl
s-o0001297,|GA₂×EL|,o0001297,,,false,U+120C7,,𒃇,CUNEIFORM SIGN GA2 TIMES EL,osl
s-o0001256,|GA₂×(EL.LA)|,o0001256,,,false,U+120C8,,𒃈,CUNEIFORM SIGN GA2 TIMES EL PLUS LA,osl
s-o0001299,|GA₂×EN|,o0001299,,,false,U+120C9,,𒃉,CUNEIFORM SIGN GA2 TIMES EN,osl
s-o0001298,|GA₂×EN.NUN|,o0001298,,,false,U+120C9 U+12263,,𒃉𒉣,,osl
s-o0001300,|GA₂×EN×GAN₂@t|,o0001300,,,false,U+120CA,,𒃊,CUNEIFORM SIGN GA2 TIMES EN TIMES GAN2 TENU,osl
s-o0001301,|GA₂×EREN|,o0001301,,,false,U+124BA,,𒒺,CUNEIFORM SIGN GA2 TIMES EREN,osl
s-o0001304,|GA₂×GA|,o0001304,,,false,U+124BB,,𒒻,CUNEIFORM SIGN GA2 TIMES GA,osl
s-o0027791,|GA₂×GAM|,o0027791,,,false,,,,,osl
s-o0001302,|GA₂×GAN₂@t|,o0001302,,,false,U+120CB,,𒃋,CUNEIFORM SIGN GA2 TIMES GAN2 TENU,osl
s-o0001303,|GA₂×GAR|,o0001303,,,false,U+120CC,,𒃌,CUNEIFORM SIGN GA2 TIMES GAR,osl
s-o0001258,|GA₂×(GAR.DI)|,o0001258,,,false,U+124BC,,𒒼,CUNEIFORM SIGN GA2 TIMES GAR PLUS DI,osl
s-o0027961,|GA₂×(GAR.ME)|,o0027961,,,false,,,,,osl
s-o0027972,|GA₂×GAR.ME|,o0027972,,,false,U+120CC U+12228,,𒃌𒈨,,osl
s-o0001259,|GA₂×(GAR.NE)|,o0001259,,,false,U+124BD,,𒒽,CUNEIFORM SIGN GA2 TIMES GAR PLUS NE,osl
s-o0001305,|GA₂×GI|,o0001305,,,false,U+120CD,,𒃍,CUNEIFORM SIGN GA2 TIMES GI,osl
s-o0001306,|GA₂×GI₄|,o0001306,,,false,U+120CE,,𒃎,CUNEIFORM SIGN GA2 TIMES GI4,osl
s-o0001261,|GA₂×(GI₄.A)|,o0001261,,,false,U+120CF,,𒃏,CUNEIFORM SIGN GA2 TIMES GI4 PLUS A,osl
s-o0001260,|GA₂×(GIR₂.SU)|,o0001260,,,false,U+120D0,,𒃐,CUNEIFORM SIGN GA2 TIMES GIR2 PLUS SU,osl
s-o0027974,|GA₂×GIŠ|,o0027974,,,false,,,,,osl
s-o0027519,|GA₂×GUD|,o0027519,,,false,,,,,osl
s-o0001263,|GA₂×(HA.LU.EŠ₂)|,o0001263,,,false,U+120D1,,𒃑,CUNEIFORM SIGN GA2 TIMES HA PLUS LU PLUS ESH2,osl
s-o0027863,|GA₂×(HA.LU.UB)|,o0027863,o0001263,,false,,,,,osl
s-o0001307,|GA₂×HAL|,o0001307,,,false,U+120D2,,𒃒,CUNEIFORM SIGN GA2 TIMES HAL,osl
s-o0001264,|GA₂×(HAL.LA)|,o0001264,,,false,U+120D3,,𒃓,CUNEIFORM SIGN GA2 TIMES HAL PLUS LA,osl
s-o0001265,|GA₂×(HI.LI)|,o0001265,,,false,U+120D4,,𒃔,CUNEIFORM SIGN GA2 TIMES HI PLUS LI,osl
s-o0001308,|GA₂×HUB₂|,o0001308,,,false,U+120D5,,𒃕,CUNEIFORM SIGN GA2 TIMES HUB2,osl
s-o0001309,|GA₂×IGI@g|,o0001309,,,false,U+120D6,,𒃖,CUNEIFORM SIGN GA2 TIMES IGI GUNU,osl
s-o0221865,|GA₂×(IGI@g.ME)|,o0221865,,,false,,,,,osl
s-o0001309-2,|GA₂×IGI@g|,o0001309,o0221865,,false,,,,,osl
s-o0027976,|GA₂×IL₂|,o0027976,,,false,,,,,osl
s-o0001266,|GA₂×(IŠ.HU.AŠ)|,o0001266,,,false,U+120D7,,𒃗,CUNEIFORM SIGN GA2 TIMES ISH PLUS HU PLUS ASH,osl
s-o0001310,|GA₂×KAK|,o0001310,,,false,U+120D8,,𒃘,CUNEIFORM SIGN GA2 TIMES KAK,osl
s-o0027963,|GA₂×(KAL.AN)|,o0027963,,,false,,,,,osl
s-o0001311,|GA₂×KASKAL|,o0001311,,,false,U+120D9,,𒃙,CUNEIFORM SIGN GA2 TIMES KASKAL,osl
s-o0001312,|GA₂×KID|,o0001312,,,false,U+120DA,,𒃚,CUNEIFORM SIGN GA2 TIMES KID,osl
s-o0001267,|GA₂×(KID.LAL)|,o0001267,,,false,U+120DB,,𒃛,CUNEIFORM SIGN GA2 TIMES KID PLUS LAL,osl
s-o0027978,|GA₂×KU|,o0027978,,,false,,,,,osl
s-o0001269,|GA₂×(KU₃.AN)|,o0001269,,,false,U+120DC,,𒃜,CUNEIFORM SIGN GA2 TIMES KU3 PLUS AN,osl
s-o0001268,|GA₂×(KUŠU₂.KASKAL)|,o0001268,,,false,U+124BF,,𒒿,CUNEIFORM SIGN GA2 TIMES KUSHU2 PLUS KASKAL,osl
s-o0001314,|GA₂×LA|,o0001314,,,false,U+120DD,,𒃝,CUNEIFORM SIGN GA2 TIMES LA,osl
s-o0001313,|GA₂×LAM|,o0001313,,,false,U+124C0,,𒓀,CUNEIFORM SIGN GA2 TIMES LAM,osl
s-o0001270,|GA₂×(LAM×KUR)|,o0001270,,,false,U+124C1,,𒓁,CUNEIFORM SIGN GA2 TIMES LAM TIMES KUR,osl
s-o0022953,|GA₂×LI|,o0022953,,,false,,,,,osl
s-o0001315,|GA₂×LUH|,o0001315,,,false,U+124C2,,𒓂,CUNEIFORM SIGN GA2 TIMES LUH,osl
s-o0038201,|GA₂×ME|,o0038201,,,false,,,,,osl
s-o0001271,|GA₂×(ME.EN)|,o0001271,,,false,U+120DE,,𒃞,CUNEIFORM SIGN GA2 TIMES ME PLUS EN,osl
s-o0031764,|GA₂×(EN.ME)|,o0031764,o0001271,,false,,,,,osl
s-o0027964,|GA₂×(ME.NA)|,o0027964,,,false,,,,,osl
s-o0001316,|GA₂×MI|,o0001316,,,false,U+120DF,,𒃟,CUNEIFORM SIGN GA2 TIMES MI,osl
s-o0001317,|GA₂×MUŠ|,o0001317,,,false,U+124C3,,𒓃,CUNEIFORM SIGN GA2 TIMES MUSH,osl
s-o0001318,|GA₂×NE|,o0001318,,,false,U+124C4,,𒓄,CUNEIFORM SIGN GA2 TIMES NE,osl
s-o0001272,|GA₂×(NE.E₂)|,o0001272,,,false,U+124C5,,𒓅,CUNEIFORM SIGN GA2 TIMES NE PLUS E2,osl
s-o0001257,|GA₂×(E₂.NE)|,o0001257,o0001272,,false,,,,,osl
s-o0001273,|GA₂×(NE.GI)|,o0001273,,,false,U+124C6,,𒓆,CUNEIFORM SIGN GA2 TIMES NE PLUS GI,osl
s-o0038400,|GA₂×NU|,o0038400,,,false,,U+F0059,,,osl
s-o0001320,|GA₂×NUN|,o0001320,,,false,U+120E0,,𒃠,CUNEIFORM SIGN GA2 TIMES NUN,osl
s-o0027707,|LAGAB×NUN|,o0027707,o0001320,,false,,,,,osl
s-o0001319,|GA₂×(NUN&NUN)|,o0001319,,|GA₂×NUN&NUN|,false,U+120E1,,𒃡,CUNEIFORM SIGN GA2 TIMES NUN OVER NUN,osl
s-o0001321,|GA₂×PA|,o0001321,,,false,U+120E2,,𒃢,CUNEIFORM SIGN GA2 TIMES PA,osl
s-o0027966,|GA₂×(PA.LAGAR)|,o0027966,,,false,,,,,osl
s-o0001322,|GA₂×SAL|,o0001322,,,false,U+120E3,,𒃣,CUNEIFORM SIGN GA2 TIMES SAL,osl
s-o0031723,|GA₂×(SAL.KUR)|,o0031723,,,false,,,,,osl
s-o0027968,|GA₂×(SAL.ME)|,o0027968,,,false,,,,,osl
s-o0031654,|GA₂×SANGA₂|,o0031654,,|GA₂×LAK175|,false,,,,,osl
s-o0001323,|GA₂×SAR|,o0001323,,,false,U+120E4,,𒃤,CUNEIFORM SIGN GA2 TIMES SAR,osl
s-o0027693,|GA₂×SILA₃|,o0027693,,,false,,,,,osl
s-o0001274,|GA₂×(SILA₃.ME)|,o0001274,,,false,,,,,osl
s-o0001243,|GA×SILA₃|,o0001243,o0001274,,false,,,,,osl
s-o0001324,|GA₂×SUM|,o0001324,,,false,U+120E8,,𒃨,CUNEIFORM SIGN GA2 TIMES SUM,osl
s-o0001330,|GA₂×ŠE|,o0001330,,,false,U+120E5,,𒃥,CUNEIFORM SIGN GA2 TIMES SHE,osl
s-o0001276,|GA₂×(ŠE.TUR)|,o0001276,,,false,U+120E6,,𒃦,CUNEIFORM SIGN GA2 TIMES SHE PLUS TUR,osl
s-o0001331,|GA₂×ŠID|,o0001331,,,false,U+120E7,,𒃧,CUNEIFORM SIGN GA2 TIMES SHID,osl
s-o0001332,|GA₂×ŠIM|,o0001332,,,false,U+124C7,,𒓇,CUNEIFORM SIGN GA2 TIMES SHIM,osl
s-o0018842,|GA₂×ŠU|,o0018842,,,false,,,,,osl
s-o0038402,|GA₂×ŠU₂|,o0038402,,,false,,U+F005A,,,osl
s-o0001325,|GA₂×TAK₄|,o0001325,,,false,U+120E9,,𒃩,CUNEIFORM SIGN GA2 TIMES TAK4,osl
s-o0031588,|GA₂×TE|,o0031588,,,false,,,,,osl
s-o0027793,|GA₂×TUR|,o0027793,,,false,,,,,osl
s-o0001327,|GA₂×U|,o0001327,,,false,U+120EA,,𒃪,CUNEIFORM SIGN GA2 TIMES U,osl
s-o0037837,|GA₂×U₂|,o0037837,,,false,,,,,osl
s-o0001326,|GA₂×UD|,o0001326,,,false,U+120EB,,𒃫,CUNEIFORM SIGN GA2 TIMES UD,osl
s-o0027865,|GA₂×ERIN₂|,o0027865,o0001326,,false,,,,,osl
s-o0001275,|GA₂×(UD.DU)|,o0001275,,,false,U+120EC,,𒃬,CUNEIFORM SIGN GA2 TIMES UD PLUS DU,osl
s-o0001328,|GA₂×X|,o0001328,,,false,,,,,osl
s-o0001329,|GA₂×ZIZ₂|,o0001329,,,false,U+124C8,,𒓈,CUNEIFORM SIGN GA2 TIMES ZIZ2,osl
s-o0001321-2,|GA₂×PA|,o0001321,o0001329,,false,U+120E2,,𒃢,CUNEIFORM SIGN GA2 TIMES PA,osl
s-o0048848,|GA₂×(ZIZ₂.GAL)|,o0048848,,,false,,,,,osl
s-o0001244,|GA₂&GA₂|,o0001244,,,false,U+120ED,,𒃭,CUNEIFORM SIGN GA2 OVER GA2,osl
s-o0000190,GABA,o0000190,,,false,U+120EE,,𒃮,CUNEIFORM SIGN GABA,osl
s-o0000647,|4×GABA|,o0000647,,,false,,,,,osl
s-o0001181,|GABA%GABA|,o0001181,,,false,U+120EF,,𒃯,CUNEIFORM SIGN GABA CROSSING GABA,osl
s-o0000191,GABA@90,o0000191,,,false,U+124C9,,𒓉,CUNEIFORM SIGN GABA ROTATED NINETY DEGREES,osl
s-o0000192,GABA@t,o0000192,,,false,,,,,osl
s-o0000193,GAD,o0000193,,,false,U+120F0,,𒃰,CUNEIFORM SIGN GAD,osl
s-o0001187,|GAD.DUN₃|,o0001187,,,false,U+120F0 U+12085,,𒃰𒂅,,osl
s-o0027917,|(GAD.GAR)&(GAD.GAR)|,o0027917,,|(GADA.GAR)&(GADA.GAR)|,false,,,,,osl
s-o0221933,|GAD.PAD.MUŠ₃|,o0221933,,,false,U+120F0 U+1227B U+12239,,𒃰𒉻𒈹,,osl
s-o0001191,|GAD.TAK₄|,o0001191,,,false,U+120F0 U+122FA,,𒃰𒋺,,osl
s-o0001188,|GAD.TAK₄.GIŠ|,o0001188,,,false,U+120F0 U+122FA U+12111,,𒃰𒋺𒄑,,osl
s-o0001190,|GAD.TAK₄.SI|,o0001190,,,false,U+120F0 U+122FA U+122DB,,𒃰𒋺𒋛,,osl
s-o0001189,|GAD.TAK₄.SI.A|,o0001189,,,false,U+120F0 U+122FA U+122DB U+12000,,𒃰𒋺𒋛𒀀,,osl
s-o0001184,|GAD+DIŠ×A|,o0001184,,,false,U+120F0 X,,𒃰X,,osl
s-o0001186,|GAD+TAK₄.DUH|,o0001186,,,false,U+120F0 U+122FA U+12083,,𒃰𒋺𒂃,,osl
s-o0001183,|GAD&GAD.GAR&GAR|,o0001183,,,false,U+120F1,,𒃱,CUNEIFORM SIGN GAD OVER GAD GAR OVER GAR,osl
s-o0031539,|GAD.GAR|,o0031539,o0001183,,false,U+120F0 U+120FB,,𒃰𒃻,,osl
s-o0000194,GAL,o0000194,,,false,U+120F2,,𒃲,CUNEIFORM SIGN GAL,osl
s-o0001192,|GAL.AN.ZU|,o0001192,,,false,U+120F2 U+1202D U+1236A,,𒃲𒀭𒍪,,osl
s-o0001193,|GAL.AŠGAB|,o0001193,,,false,U+120F2 U+1203F,,𒃲𒀿,,osl
s-o0001194,|GAL.BAR.EDIN|,o0001194,,,false,U+120F2 U+12047 U+12094,,𒃲𒁇𒂔,,osl
s-o0001195,|GAL.BUR₂|,o0001195,,,false,U+120F2 U+12054,,𒃲𒁔,,osl
s-o0001198,|GAL.DI|,o0001198,,,false,U+120F2 U+12072,,𒃲𒁲,,osl
s-o0001196,|GAL.DIM|,o0001196,,,false,U+120F2 U+12074,,𒃲𒁴,,osl
s-o0001197,|GAL.DIM₂|,o0001197,,,false,U+120F2 U+12076,,𒃲𒁶,,osl
s-o0001200,|GAL.DUN₃@g@g|,o0001200,,,false,U+120F2 U+12087,,𒃲𒂇,,osl
s-o0001201,|GAL.GAD&GAD.GAR&GAR|,o0001201,,,false,U+120F3,,𒃳,CUNEIFORM SIGN GAL GAD OVER GAD GAR OVER GAR,osl
s-o0031540,|GAL.GAD.GAR|,o0031540,o0001201,,false,U+120F2 U+120F0 U+120FB,,𒃲𒃰𒃻,,osl
s-o0001202,|GAL.GIŠ.TUG₂.TE.A.DU|,o0001202,,,false,U+120F2 U+12111 U+12306 U+122FC U+12000 U+1207A,,𒃲𒄑𒌆𒋼𒀀𒁺,,osl
