ID,Gardiner,Subcorpus,Tokens,Docs,Source
all,!,all,1,1,aes
sawmedizin,!,sawmedizin,1,1,aes
j-r-w-all,$jꜣr.w$,all,1,1,aes
j-r-w-bbawpyramidentexte,$jꜣr.w$,bbawpyramidentexte,1,1,aes
nn-all,$nn$,all,1,1,aes
nn-bbawpyramidentexte,$nn$,bbawpyramidentexte,1,1,aes
s-t-all,$sḫ.t$,all,1,1,aes
s-t-bbawpyramidentexte,$sḫ.t$,bbawpyramidentexte,1,1,aes
linverted-s-all,+linverted+s,all,1,1,aes
linverted-s-sawlit,+linverted+s,sawlit,1,1,aes
lvar-s-all,+lvar+s,all,5,1,aes
lvar-s-sawlit,+lvar+s,sawlit,5,1,aes
all-2,.,all,120,53,aes
bbawhistbiospzt,.,bbawhistbiospzt,1,1,aes
sawlit,.,sawlit,108,45,aes
sawmedizin-2,.,sawmedizin,10,6,aes
tuebingerstelen,.,tuebingerstelen,1,1,aes
all-3,..,all,5,3,aes
bbawpyramidentexte,..,bbawpyramidentexte,3,1,aes
bbawtotenlit,..,bbawtotenlit,1,1,aes
sawlit-2,..,sawlit,1,1,aes
2-all,2,all,798,150,aes
2-bbawhistbiospzt,2,bbawhistbiospzt,1,1,aes
2-bbawpyramidentexte,2,bbawpyramidentexte,1,1,aes
2-sawlit,2,sawlit,287,86,aes
2-sawmedizin,2,sawmedizin,503,57,aes
2-tuebingerstelen,2,tuebingerstelen,6,5,aes
20-all,20,all,171,37,aes
20-sawlit,20,sawlit,13,11,aes
20-sawmedizin,20,sawmedizin,158,26,aes
200-all,200,all,5,4,aes
200-sawlit,200,sawlit,5,4,aes
3-all,3,all,505,117,aes
3-sawlit,3,sawlit,181,72,aes
3-sawmedizin,3,sawmedizin,324,45,aes
30-all,30,all,169,31,aes
30-sawlit,30,sawlit,6,6,aes
30-sawmedizin,30,sawmedizin,163,25,aes
300-all,300,all,4,4,aes
300-sawlit,300,sawlit,3,3,aes
300-sawmedizin,300,sawmedizin,1,1,aes
4-all,4,all,944,107,aes
4-sawlit,4,sawlit,88,48,aes
4-sawmedizin,4,sawmedizin,856,59,aes
40-all,40,all,3,3,aes
40-sawlit,40,sawlit,2,2,aes
40-sawmedizin,40,sawmedizin,1,1,aes
5-all,5,all,12,8,aes
5-sawlit,5,sawlit,12,8,aes
9-all,?9,all,2,1,aes
9-sawlit,?9,sawlit,2,1,aes
A1-all,A1,all,9710,572,aes
A1-bbawamarna,A1,bbawamarna,373,96,aes
A1-bbawgrabinschriften,A1,bbawgrabinschriften,94,70,aes
A1-bbawgraeberspzt,A1,bbawgraeberspzt,70,13,aes
A1-bbawhistbiospzt,A1,bbawhistbiospzt,267,11,aes
A1-bbawtempelbib,A1,bbawtempelbib,315,11,aes
A1-bbawtotenlit,A1,bbawtotenlit,1080,18,aes
A1-sawlit,A1,sawlit,6347,261,aes
A1-sawmedizin,A1,sawmedizin,1082,73,aes
A1-smaek,A1,smaek,42,3,aes
A1-tuebingerstelen,A1,tuebingerstelen,40,16,aes
A10-all,A10,all,14,11,aes
A10-bbawgrabinschriften,A10,bbawgrabinschriften,12,10,aes
A10-sawlit,A10,sawlit,2,1,aes
A100B-all,A100B,all,1,1,aes
A100B-bbawgrabinschriften,A100B,bbawgrabinschriften,1,1,aes
A101D-all,A101D,all,1,1,aes
A101D-sawlit,A101D,sawlit,1,1,aes
A109-all,A109,all,20,2,aes
A109-bbawhistbiospzt,A109,bbawhistbiospzt,20,2,aes
A11-all,A11,all,17,13,aes
A11-bbawamarna,A11,bbawamarna,1,1,aes
A11-bbawgrabinschriften,A11,bbawgrabinschriften,13,9,aes
A11-sawlit,A11,sawlit,3,3,aes
A110-all,A110,all,1,1,aes
A110-sawlit,A110,sawlit,1,1,aes
A115-all,A115,all,1,1,aes
A115-sawlit,A115,sawlit,1,1,aes
A116-all,A116,all,1,1,aes
A116-bbawgrabinschriften,A116,bbawgrabinschriften,1,1,aes
A119-all,A119,all,13,12,aes
A119-bbawgrabinschriften,A119,bbawgrabinschriften,13,12,aes
A119A-all,A119A,all,2,2,aes
A119A-bbawgrabinschriften,A119A,bbawgrabinschriften,2,2,aes
A12-all,A12,all,112,59,aes
A12-bbawamarna,A12,bbawamarna,6,5,aes
A12-bbawgrabinschriften,A12,bbawgrabinschriften,9,9,aes
A12-bbawhistbiospzt,A12,bbawhistbiospzt,14,3,aes
A12-sawlit,A12,sawlit,77,37,aes
A12-sawmedizin,A12,sawmedizin,2,1,aes
A12-smaek,A12,smaek,2,2,aes
A12-tuebingerstelen,A12,tuebingerstelen,2,2,aes
A121C-all,A121C,all,7,5,aes
A121C-bbawamarna,A121C,bbawamarna,1,1,aes
A121C-bbawtempelbib,A121C,bbawtempelbib,4,2,aes
A121C-sawlit,A121C,sawlit,1,1,aes
A121C-sawmedizin,A121C,sawmedizin,1,1,aes
A123-all,A123,all,1,1,aes
A123-bbawgrabinschriften,A123,bbawgrabinschriften,1,1,aes
A12A-all,A12A,all,35,2,aes
A12A-bbawgrabinschriften,A12A,bbawgrabinschriften,1,1,aes
A12A-bbawhistbiospzt,A12A,bbawhistbiospzt,34,1,aes
A12C-all,A12C,all,1,1,aes
A12C-bbawhistbiospzt,A12C,bbawhistbiospzt,1,1,aes
A12D-all,A12D,all,5,2,aes
A12D-sawlit,A12D,sawlit,5,2,aes
A12_-all,A12_,all,1,1,aes
A12_-sawlit,A12_,sawlit,1,1,aes
A13-all,A13,all,20,14,aes
A13-bbawhistbiospzt,A13,bbawhistbiospzt,2,1,aes
A13-bbawtotenlit,A13,bbawtotenlit,1,1,aes
A13-sawlit,A13,sawlit,16,11,aes
A13-sawmedizin,A13,sawmedizin,1,1,aes
A133A-all,A133A,all,7,7,aes
A133A-bbawgrabinschriften,A133A,bbawgrabinschriften,6,6,aes
A133A-sawlit,A133A,sawlit,1,1,aes
A135C-all,A135C,all,1,1,aes
A135C-smaek,A135C,smaek,1,1,aes
A136A-all,A136A,all,1,1,aes
A136A-bbawamarna,A136A,bbawamarna,1,1,aes
A137-all,A137,all,1,1,aes
A137-bbawhistbiospzt,A137,bbawhistbiospzt,1,1,aes
A13A-all,A13A,all,21,6,aes
A13A-bbawtempelbib,A13A,bbawtempelbib,2,1,aes
A13A-bbawtotenlit,A13A,bbawtotenlit,7,1,aes
A13A-sawlit,A13A,sawlit,5,2,aes
A13A-sawmedizin,A13A,sawmedizin,7,2,aes
A13B-all,A13B,all,3,2,aes
A13B-bbawtotenlit,A13B,bbawtotenlit,1,1,aes
A13B-sawlit,A13B,sawlit,2,1,aes
A13E-all,A13E,all,2,1,aes
A13E-sawlit,A13E,sawlit,2,1,aes
A14-all,A14,all,47,26,aes
A14-bbawamarna,A14,bbawamarna,2,1,aes
A14-bbawhistbiospzt,A14,bbawhistbiospzt,10,1,aes
A14-bbawtempelbib,A14,bbawtempelbib,2,1,aes
A14-sawlit,A14,sawlit,31,21,aes
A14-sawmedizin,A14,sawmedizin,2,2,aes
A141-all,A141,all,1,1,aes
A141-sawlit,A141,sawlit,1,1,aes
A143-all,A143,all,1,1,aes
A143-sawlit,A143,sawlit,1,1,aes
A143A-all,A143A,all,1,1,aes
A143A-bbawgrabinschriften,A143A,bbawgrabinschriften,1,1,aes
A148-all,A148,all,4,4,aes
A148-bbawgrabinschriften,A148,bbawgrabinschriften,4,4,aes
A149-all,A149,all,1,1,aes
A149-bbawtempelbib,A149,bbawtempelbib,1,1,aes
A14A-all,A14A,all,8,8,aes
A14A-bbawgrabinschriften,A14A,bbawgrabinschriften,1,1,aes
A14A-bbawgraeberspzt,A14A,bbawgraeberspzt,1,1,aes
A14A-bbawhistbiospzt,A14A,bbawhistbiospzt,1,1,aes
A14A-sawlit,A14A,sawlit,5,5,aes
A14B-all,A14B,all,1,1,aes
A14B-sawlit,A14B,sawlit,1,1,aes
A14G-all,A14G,all,1,1,aes
A14G-bbawgraeberspzt,A14G,bbawgraeberspzt,1,1,aes
A14H-all,A14H,all,1,1,aes
A14H-bbawgraeberspzt,A14H,bbawgraeberspzt,1,1,aes
A15-all,A15,all,387,91,aes
A15-bbawamarna,A15,bbawamarna,3,2,aes
A15-bbawgrabinschriften,A15,bbawgrabinschriften,2,2,aes
A15-bbawgraeberspzt,A15,bbawgraeberspzt,3,3,aes
A15-bbawhistbiospzt,A15,bbawhistbiospzt,1,1,aes
A15-bbawtempelbib,A15,bbawtempelbib,14,4,aes
A15-bbawtotenlit,A15,bbawtotenlit,238,16,aes
A15-sawlit,A15,sawlit,84,46,aes
A15-sawmedizin,A15,sawmedizin,42,17,aes
A151-all,A151,all,1,1,aes
A151-sawlit,A151,sawlit,1,1,aes
A16-all,A16,all,25,21,aes
A16-bbawamarna,A16,bbawamarna,1,1,aes
A16-bbawhistbiospzt,A16,bbawhistbiospzt,1,1,aes
A16-bbawtotenlit,A16,bbawtotenlit,7,4,aes
A16-sawlit,A16,sawlit,12,12,aes
A16-sawmedizin,A16,sawmedizin,4,3,aes
A161-all,A161,all,1,1,aes
A161-bbawgraeberspzt,A161,bbawgraeberspzt,1,1,aes
A165-all,A165,all,1,1,aes
A165-sawlit,A165,sawlit,1,1,aes
A16B-all,A16B,all,1,1,aes
A16B-bbawamarna,A16B,bbawamarna,1,1,aes
A17-all,A17,all,610,199,aes
A17-bbawamarna,A17,bbawamarna,55,40,aes
A17-bbawgrabinschriften,A17,bbawgrabinschriften,24,16,aes
A17-bbawgraeberspzt,A17,bbawgraeberspzt,1,1,aes
A17-bbawhistbiospzt,A17,bbawhistbiospzt,20,7,aes
A17-bbawtempelbib,A17,bbawtempelbib,18,7,aes
A17-bbawtotenlit,A17,bbawtotenlit,138,18,aes
A17-sawlit,A17,sawlit,268,75,aes
A17-sawmedizin,A17,sawmedizin,78,30,aes
A17-smaek,A17,smaek,2,1,aes
A17-tuebingerstelen,A17,tuebingerstelen,6,4,aes
A17A-all,A17A,all,71,28,aes
A17A-bbawtempelbib,A17A,bbawtempelbib,1,1,aes
A17A-sawlit,A17A,sawlit,42,21,aes
A17A-sawmedizin,A17A,sawmedizin,28,6,aes
A17B-all,A17B,all,5,5,aes
A17B-bbawgrabinschriften,A17B,bbawgrabinschriften,3,3,aes
A17B-bbawhistbiospzt,A17B,bbawhistbiospzt,1,1,aes
A17B-sawlit,A17B,sawlit,1,1,aes
A17C-all,A17C,all,4,4,aes
A17C-bbawgrabinschriften,A17C,bbawgrabinschriften,3,3,aes
A17C-sawlit,A17C,sawlit,1,1,aes
A17D-all,A17D,all,6,4,aes
A17D-sawlit,A17D,sawlit,5,3,aes
A17D-tuebingerstelen,A17D,tuebingerstelen,1,1,aes
A17S-all,A17S,all,3,3,aes
A17S-bbawamarna,A17S,bbawamarna,1,1,aes
A17S-bbawgrabinschriften,A17S,bbawgrabinschriften,2,2,aes
A18-all,A18,all,10,4,aes
A18-bbawgrabinschriften,A18,bbawgrabinschriften,1,1,aes
A18-bbawtempelbib,A18,bbawtempelbib,8,2,aes
A18-sawlit,A18,sawlit,1,1,aes
A183-all,A183,all,16,7,aes
A183-bbawgrabinschriften,A183,bbawgrabinschriften,1,1,aes
A183-bbawtotenlit,A183,bbawtotenlit,15,6,aes
A19-all,A19,all,476,235,aes
A19-bbawamarna,A19,bbawamarna,32,24,aes
A19-bbawgrabinschriften,A19,bbawgrabinschriften,124,114,aes
A19-bbawhistbiospzt,A19,bbawhistbiospzt,1,1,aes
A19-bbawtempelbib,A19,bbawtempelbib,30,9,aes
A19-bbawtotenlit,A19,bbawtotenlit,43,12,aes
A19-sawlit,A19,sawlit,234,64,aes
A19-sawmedizin,A19,sawmedizin,8,8,aes
A19-smaek,A19,smaek,3,2,aes
A19-tuebingerstelen,A19,tuebingerstelen,1,1,aes
A199A-all,A199A,all,11,6,aes
A199A-bbawtempelbib,A199A,bbawtempelbib,5,4,aes
A199A-bbawtotenlit,A199A,bbawtotenlit,6,2,aes
A1_-all,A1_,all,1,1,aes
A1_-sawlit,A1_,sawlit,1,1,aes
A2-all,A2,all,5252,426,aes
A2-bbawamarna,A2,bbawamarna,197,75,aes
A2-bbawgrabinschriften,A2,bbawgrabinschriften,22,18,aes
A2-bbawgraeberspzt,A2,bbawgraeberspzt,10,9,aes
A2-bbawhistbiospzt,A2,bbawhistbiospzt,72,11,aes
A2-bbawtempelbib,A2,bbawtempelbib,186,10,aes
A2-bbawtotenlit,A2,bbawtotenlit,1007,18,aes
A2-sawlit,A2,sawlit,2647,201,aes
A2-sawmedizin,A2,sawmedizin,1092,75,aes
A2-smaek,A2,smaek,7,3,aes
A2-tuebingerstelen,A2,tuebingerstelen,12,6,aes
A20-all,A20,all,40,35,aes
A20-bbawamarna,A20,bbawamarna,2,2,aes
A20-bbawgrabinschriften,A20,bbawgrabinschriften,25,23,aes
A20-bbawgraeberspzt,A20,bbawgraeberspzt,1,1,aes
A20-bbawtempelbib,A20,bbawtempelbib,1,1,aes
A20-sawlit,A20,sawlit,10,7,aes
A20-sawmedizin,A20,sawmedizin,1,1,aes
A206-all,A206,all,1,1,aes
A206-bbawgrabinschriften,A206,bbawgrabinschriften,1,1,aes
A21-all,A21,all,252,115,aes
A21-bbawamarna,A21,bbawamarna,37,23,aes
A21-bbawgrabinschriften,A21,bbawgrabinschriften,9,9,aes
A21-bbawgraeberspzt,A21,bbawgraeberspzt,2,2,aes
A21-bbawhistbiospzt,A21,bbawhistbiospzt,13,4,aes
A21-bbawtempelbib,A21,bbawtempelbib,5,5,aes
A21-bbawtotenlit,A21,bbawtotenlit,1,1,aes
A21-sawlit,A21,sawlit,182,68,aes
A21-sawmedizin,A21,sawmedizin,1,1,aes
A21-tuebingerstelen,A21,tuebingerstelen,2,2,aes
A211-all,A211,all,1,1,aes
A211-sawlit,A211,sawlit,1,1,aes
A212A-all,A212A,all,1,1,aes
A212A-sawlit,A212A,sawlit,1,1,aes
A21A-all,A21A,all,37,28,aes
A21A-bbawamarna,A21A,bbawamarna,1,1,aes
A21A-bbawgrabinschriften,A21A,bbawgrabinschriften,7,7,aes
A21A-bbawhistbiospzt,A21A,bbawhistbiospzt,8,5,aes
A21A-bbawtempelbib,A21A,bbawtempelbib,1,1,aes
A21A-bbawtotenlit,A21A,bbawtotenlit,3,3,aes
A21A-sawlit,A21A,sawlit,17,11,aes
A22-all,A22,all,14,9,aes
A22-sawlit,A22,sawlit,14,9,aes
A23-all,A23,all,36,19,aes
A23-bbawhistbiospzt,A23,bbawhistbiospzt,1,1,aes
A23-bbawtempelbib,A23,bbawtempelbib,2,2,aes
A23-bbawtotenlit,A23,bbawtotenlit,21,7,aes
A23-sawlit,A23,sawlit,11,8,aes
A23-sawmedizin,A23,sawmedizin,1,1,aes
A239-all,A239,all,1,1,aes
A239-bbawgraeberspzt,A239,bbawgraeberspzt,1,1,aes
A23A-all,A23A,all,1,1,aes
A23A-bbawtotenlit,A23A,bbawtotenlit,1,1,aes
A23C-all,A23C,all,1,1,aes
A23C-sawlit,A23C,sawlit,1,1,aes
A23H-all,A23H,all,3,2,aes
A23H-bbawtotenlit,A23H,bbawtotenlit,3,2,aes
A24-all,A24,all,3745,273,aes
A24-bbawamarna,A24,bbawamarna,28,10,aes
A24-bbawgrabinschriften,A24,bbawgrabinschriften,4,4,aes
A24-bbawgraeberspzt,A24,bbawgraeberspzt,7,5,aes
A24-bbawhistbiospzt,A24,bbawhistbiospzt,4,2,aes
A24-bbawtempelbib,A24,bbawtempelbib,271,10,aes
A24-bbawtotenlit,A24,bbawtotenlit,605,17,aes
A24-sawlit,A24,sawlit,1589,149,aes
A24-sawmedizin,A24,sawmedizin,1235,74,aes
A24-tuebingerstelen,A24,tuebingerstelen,2,2,aes
A242-all,A242,all,1,1,aes
A242-sawmedizin,A242,sawmedizin,1,1,aes
A243-all,A243,all,1,1,aes
A243-sawlit,A243,sawlit,1,1,aes
A248-all,A248,all,1,1,aes
A248-sawlit,A248,sawlit,1,1,aes
A24_-all,A24_,all,1,1,aes
A24_-sawlit,A24_,sawlit,1,1,aes
A25-all,A25,all,25,15,aes
A25-bbawtempelbib,A25,bbawtempelbib,2,1,aes
A25-sawlit,A25,sawlit,19,11,aes
A25-sawmedizin,A25,sawmedizin,4,3,aes
A25A-all,A25A,all,3,3,aes
A25A-bbawgrabinschriften,A25A,bbawgrabinschriften,1,1,aes
A25A-sawlit,A25A,sawlit,1,1,aes
A25A-tuebingerstelen,A25A,tuebingerstelen,1,1,aes
A26-all,A26,all,352,62,aes
A26-bbawamarna,A26,bbawamarna,8,8,aes
A26-bbawgrabinschriften,A26,bbawgrabinschriften,3,3,aes
A26-bbawgraeberspzt,A26,bbawgraeberspzt,8,7,aes
A26-bbawhistbiospzt,A26,bbawhistbiospzt,5,2,aes
A26-bbawtempelbib,A26,bbawtempelbib,10,5,aes
A26-bbawtotenlit,A26,bbawtotenlit,276,15,aes
A26-sawlit,A26,sawlit,39,19,aes
A26-sawmedizin,A26,sawmedizin,1,1,aes
A26-smaek,A26,smaek,2,2,aes
A27-all,A27,all,5,4,aes
A27-bbawamarna,A27,bbawamarna,1,1,aes
A27-bbawgrabinschriften,A27,bbawgrabinschriften,3,2,aes
A27-sawlit,A27,sawlit,1,1,aes
A273-all,A273,all,2,2,aes
A273-sawlit,A273,sawlit,2,2,aes
A28-all,A28,all,285,120,aes
A28-bbawamarna,A28,bbawamarna,32,26,aes
A28-bbawgraeberspzt,A28,bbawgraeberspzt,4,4,aes
A28-bbawhistbiospzt,A28,bbawhistbiospzt,7,3,aes
A28-bbawtempelbib,A28,bbawtempelbib,20,10,aes
A28-bbawtotenlit,A28,bbawtotenlit,116,12,aes
A28-sawlit,A28,sawlit,88,59,aes
A28-sawmedizin,A28,sawmedizin,18,6,aes
A282-all,A282,all,3,3,aes
A282-bbawtempelbib,A282,bbawtempelbib,1,1,aes
A282-bbawtotenlit,A282,bbawtotenlit,1,1,aes
A282-sawlit,A282,sawlit,1,1,aes
A285-all,A285,all,3,3,aes
A285-sawlit,A285,sawlit,3,3,aes
A29-all,A29,all,7,5,aes
A29-bbawtempelbib,A29,bbawtempelbib,1,1,aes
A29-bbawtotenlit,A29,bbawtotenlit,1,1,aes
A29-sawlit,A29,sawlit,1,1,aes
A29-sawmedizin,A29,sawmedizin,4,2,aes
A299B-all,A299B,all,3,3,aes
A299B-sawlit,A299B,sawlit,3,3,aes
A2A-all,A2A,all,1,1,aes
A2A-sawlit,A2A,sawlit,1,1,aes
A2_-all,A2_,all,1,1,aes
A2_-sawmedizin,A2_,sawmedizin,1,1,aes
A3-all,A3,all,4,4,aes
A3-bbawgrabinschriften,A3,bbawgrabinschriften,2,2,aes
A3-sawlit,A3,sawlit,2,2,aes
A30-all,A30,all,364,177,aes
A30-bbawamarna,A30,bbawamarna,112,72,aes
A30-bbawgraeberspzt,A30,bbawgraeberspzt,3,2,aes
A30-bbawhistbiospzt,A30,bbawhistbiospzt,8,3,aes
A30-bbawtempelbib,A30,bbawtempelbib,20,7,aes
A30-bbawtotenlit,A30,bbawtotenlit,75,10,aes
A30-sawlit,A30,sawlit,122,70,aes
A30-sawmedizin,A30,sawmedizin,21,10,aes
A30-smaek,A30,smaek,1,1,aes
A30-tuebingerstelen,A30,tuebingerstelen,2,2,aes
A300B-all,A300B,all,1,1,aes
A300B-bbawhistbiospzt,A300B,bbawhistbiospzt,1,1,aes
A300D-all,A300D,all,1,1,aes
A300D-sawlit,A300D,sawlit,1,1,aes
A301-all,A301,all,5,2,aes
A301-sawlit,A301,sawlit,5,2,aes
A301A-all,A301A,all,2,1,aes
A301A-sawlit,A301A,sawlit,2,1,aes
A304F-all,A304F,all,1,1,aes
A304F-sawlit,A304F,sawlit,1,1,aes
A305-all,A305,all,8,3,aes
A305-sawlit,A305,sawlit,8,3,aes
A31-all,A31,all,1,1,aes
A31-bbawgraeberspzt,A31,bbawgraeberspzt,1,1,aes
A311-all,A311,all,9,4,aes
A311-bbawtempelbib,A311,bbawtempelbib,4,1,aes
A311-sawlit,A311,sawlit,5,3,aes
A311B-all,A311B,all,2,1,aes
A311B-sawlit,A311B,sawlit,2,1,aes
A311C-all,A311C,all,1,1,aes
A311C-sawlit,A311C,sawlit,1,1,aes
A313-all,A313,all,4,4,aes
A313-bbawgrabinschriften,A313,bbawgrabinschriften,4,4,aes
A316-all,A316,all,1,1,aes
A316-bbawhistbiospzt,A316,bbawhistbiospzt,1,1,aes
A32-all,A32,all,10,5,aes
A32-sawlit,A32,sawlit,5,4,aes
A32-sawmedizin,A32,sawmedizin,5,1,aes
A32A-all,A32A,all,7,4,aes
A32A-sawlit,A32A,sawlit,6,3,aes
A32A-sawmedizin,A32A,sawmedizin,1,1,aes
A32B-all,A32B,all,1,1,aes
A32B-sawlit,A32B,sawlit,1,1,aes
A32G-all,A32G,all,4,4,aes
A32G-sawlit,A32G,sawlit,4,4,aes
A32H-all,A32H,all,1,1,aes
A32H-bbawtempelbib,A32H,bbawtempelbib,1,1,aes
A33-all,A33,all,15,6,aes
A33-bbawhistbiospzt,A33,bbawhistbiospzt,2,1,aes
A33-sawlit,A33,sawlit,12,4,aes
A33-sawmedizin,A33,sawmedizin,1,1,aes
A332-all,A332,all,1,1,aes
A332-sawlit,A332,sawlit,1,1,aes
A33D-all,A33D,all,2,1,aes
A33D-sawlit,A33D,sawlit,2,1,aes
A33E-all,A33E,all,16,6,aes
A33E-bbawamarna,A33E,bbawamarna,16,6,aes
A34-all,A34,all,6,4,aes
A34-bbawhistbiospzt,A34,bbawhistbiospzt,1,1,aes
A34-bbawtempelbib,A34,bbawtempelbib,2,1,aes
A34-sawlit,A34,sawlit,3,2,aes
A341-all,A341,all,1,1,aes
A341-sawlit,A341,sawlit,1,1,aes
A35-all,A35,all,99,71,aes
A35-bbawamarna,A35,bbawamarna,28,21,aes
A35-bbawhistbiospzt,A35,bbawhistbiospzt,7,3,aes
A35-bbawtempelbib,A35,bbawtempelbib,8,4,aes
A35-bbawtotenlit,A35,bbawtotenlit,6,6,aes
A35-sawlit,A35,sawlit,41,29,aes
A35-sawmedizin,A35,sawmedizin,9,8,aes
A359-all,A359,all,1,1,aes
A359-sawlit,A359,sawlit,1,1,aes
A35E-all,A35E,all,9,7,aes
A35E-bbawamarna,A35E,bbawamarna,1,1,aes
A35E-bbawhistbiospzt,A35E,bbawhistbiospzt,5,3,aes
A35E-sawlit,A35E,sawlit,3,3,aes
A36-all,A36,all,5,5,aes
A36-bbawgrabinschriften,A36,bbawgrabinschriften,3,3,aes
A36-bbawgraeberspzt,A36,bbawgraeberspzt,1,1,aes
A36-sawlit,A36,sawlit,1,1,aes
A361-all,A361,all,3,1,aes
A361-sawmedizin,A361,sawmedizin,3,1,aes
A364-all,A364,all,1,1,aes
A364-bbawhistbiospzt,A364,bbawhistbiospzt,1,1,aes
A366-all,A366,all,1,1,aes
A366-sawlit,A366,sawlit,1,1,aes
A36C-all,A36C,all,103,19,aes
A36C-sawmedizin,A36C,sawmedizin,103,19,aes
A37-all,A37,all,10,8,aes
A37-bbawtempelbib,A37,bbawtempelbib,1,1,aes
A37-bbawtotenlit,A37,bbawtotenlit,2,1,aes
A37-sawlit,A37,sawlit,6,5,aes
A37-tuebingerstelen,A37,tuebingerstelen,1,1,aes
A372-all,A372,all,1,1,aes
A372-bbawtempelbib,A372,bbawtempelbib,1,1,aes
A375-all,A375,all,2,1,aes
A375-bbawhistbiospzt,A375,bbawhistbiospzt,2,1,aes
A38-all,A38,all,12,8,aes
A38-bbawgrabinschriften,A38,bbawgrabinschriften,1,1,aes
A38-bbawtempelbib,A38,bbawtempelbib,3,2,aes
A38-bbawtotenlit,A38,bbawtotenlit,6,3,aes
A38-sawmedizin,A38,sawmedizin,2,2,aes
A394-all,A394,all,1,1,aes
A394-sawlit,A394,sawlit,1,1,aes
A4-all,A4,all,47,28,aes
A4-bbawamarna,A4,bbawamarna,5,3,aes
A4-bbawhistbiospzt,A4,bbawhistbiospzt,3,2,aes
A4-bbawtempelbib,A4,bbawtempelbib,2,2,aes
A4-sawlit,A4,sawlit,31,16,aes
A4-sawmedizin,A4,sawmedizin,6,5,aes
A40-all,A40,all,1093,324,aes
A40-bbawamarna,A40,bbawamarna,193,70,aes
A40-bbawgrabinschriften,A40,bbawgrabinschriften,87,79,aes
A40-bbawgraeberspzt,A40,bbawgraeberspzt,31,15,aes
A40-bbawhistbiospzt,A40,bbawhistbiospzt,69,12,aes
A40-bbawtempelbib,A40,bbawtempelbib,9,2,aes
A40-bbawtotenlit,A40,bbawtotenlit,4,2,aes
A40-sawlit,A40,sawlit,669,131,aes
A40-sawmedizin,A40,sawmedizin,19,4,aes
A40-smaek,A40,smaek,6,3,aes
A40-tuebingerstelen,A40,tuebingerstelen,6,6,aes
A40B-all,A40B,all,15,11,aes
A40B-bbawamarna,A40B,bbawamarna,9,5,aes
A40B-bbawgraeberspzt,A40B,bbawgraeberspzt,1,1,aes
A40B-bbawhistbiospzt,A40B,bbawhistbiospzt,1,1,aes
A40B-bbawtempelbib,A40B,bbawtempelbib,1,1,aes
A40B-bbawtotenlit,A40B,bbawtotenlit,1,1,aes
A40B-sawlit,A40B,sawlit,2,2,aes
A40C-all,A40C,all,7,3,aes
A40C-bbawamarna,A40C,bbawamarna,2,2,aes
A40C-bbawhistbiospzt,A40C,bbawhistbiospzt,5,1,aes
A40D-all,A40D,all,6,4,aes
A40D-bbawamarna,A40D,bbawamarna,6,4,aes
A40E-all,A40E,all,15,13,aes
A40E-bbawamarna,A40E,bbawamarna,6,5,aes
A40E-bbawhistbiospzt,A40E,bbawhistbiospzt,3,3,aes
A40E-sawlit,A40E,sawlit,6,5,aes
A40F-all,A40F,all,1,1,aes
A40F-bbawamarna,A40F,bbawamarna,1,1,aes
A41-all,A41,all,158,23,aes
A41-bbawamarna,A41,bbawamarna,122,11,aes
A41-bbawhistbiospzt,A41,bbawhistbiospzt,32,8,aes
A41-sawlit,A41,sawlit,4,4,aes
A410-all,A410,all,1,1,aes
A410-sawmedizin,A410,sawmedizin,1,1,aes
A413-all,A413,all,1,1,aes
A413-sawlit,A413,sawlit,1,1,aes
A417-all,A417,all,2,1,aes
A417-bbawgrabinschriften,A417,bbawgrabinschriften,2,1,aes
A42-all,A42,all,177,68,aes
A42-bbawamarna,A42,bbawamarna,104,48,aes
A42-bbawhistbiospzt,A42,bbawhistbiospzt,25,5,aes
A42-bbawtempelbib,A42,bbawtempelbib,1,1,aes
A42-bbawtotenlit,A42,bbawtotenlit,1,1,aes
A42-sawlit,A42,sawlit,46,13,aes
A420-all,A420,all,1,1,aes
A420-bbawgrabinschriften,A420,bbawgrabinschriften,1,1,aes
A42A-all,A42A,all,31,13,aes
A42A-bbawamarna,A42A,bbawamarna,30,12,aes
A42A-sawlit,A42A,sawlit,1,1,aes
A42B-all,A42B,all,33,13,aes
A42B-bbawamarna,A42B,bbawamarna,27,11,aes
A42B-sawlit,A42B,sawlit,6,2,aes
A42C-all,A42C,all,4,4,aes
A42C-bbawamarna,A42C,bbawamarna,4,4,aes
A43-all,A43,all,12,6,aes
A43-bbawhistbiospzt,A43,bbawhistbiospzt,5,1,aes
A43-sawlit,A43,sawlit,7,5,aes
A43A-all,A43A,all,1,1,aes
A43A-sawlit,A43A,sawlit,1,1,aes
A43B-all,A43B,all,16,11,aes
A43B-bbawamarna,A43B,bbawamarna,1,1,aes
A43B-bbawhistbiospzt,A43B,bbawhistbiospzt,1,1,aes
A43B-sawlit,A43B,sawlit,14,9,aes
A43E-all,A43E,all,2,2,aes
A43E-sawlit,A43E,sawlit,2,2,aes
A43H-all,A43H,all,1,1,aes
A43H-bbawtempelbib,A43H,bbawtempelbib,1,1,aes
A43K-all,A43K,all,1,1,aes
A43K-bbawgrabinschriften,A43K,bbawgrabinschriften,1,1,aes
A44-all,A44,all,13,7,aes
